************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
R26        4K7              0402                            1232.00 m    2344.00 m   0        TOP                       
R27        100R             0603                            1248.00 m    2424.00 m   180      TOP                       
R28        4K7              0402                            1192.00 m    2496.00 m   0        TOP                       
R29        100R             0603                            1256.00 m    2568.00 m   180      TOP                       
R30        0R               0402                            1432.00 m    2744.00 m   180      BOTTOM                    
R31        10R              0603                            1968.00 m    1848.00 m   180      TOP                       
R32        330R             0402                            2000.00 m    1120.00 m   0        TOP                       
R33        10R              0603                            2352.00 m    1848.00 m   0        TOP                       
R34        330R             0402                            2000.00 m    1176.00 m   0        TOP                       
R35        10R              0603                            2800.00 m    1848.00 m   0        TOP                       
R36        10R              0603                            3168.00 m    1848.00 m   0        TOP                       
R37        150K             0402                            4024.00 m    1672.00 m   180      TOP                       
R38        0R               0402                            3720.00 m    1912.00 m   0        TOP                       
R39        10R              0402                            3704.00 m    1648.00 m   0        TOP                       
R40        6K8              0402                            4024.00 m    1808.00 m   180      TOP                       
R41        180K             0402                            4024.00 m    1712.00 m   0        TOP                       
R42        1K               0805                            4000.00 m    1616.00 m   0        TOP                       
R43        1K               0402                            1872.00 m    1232.00 m   180      TOP                       
R44        3K3              0402                            4072.00 m    1872.00 m   0        TOP                       
R45        22K              0402                            4096.00 m    1712.00 m   0        TOP                       
R46        4K7              0402                            4256.00 m    960.00 m    0        BOTTOM                    
R47        10K              0402                            3648.00 m    776.00 m    0        BOTTOM                    
R48        12K              0402                            3648.00 m    920.00 m    0        BOTTOM                    
R49        22K              0402                            3648.00 m    880.00 m    180      BOTTOM                    
R50        1K5              0402                            4176.00 m    960.00 m    0        BOTTOM                    
R51        330R             0402                            2568.00 m    1216.00 m   0        TOP                       
R52        68K              0402                            3568.00 m    368.00 m    180      BOTTOM                    
R53        2K2              0402                            4176.00 m    616.00 m    0        BOTTOM                    
R54        220R             0402                            2472.00 m    1080.00 m   0        TOP                       
R55        12K              0402                            3568.00 m    400.00 m    0        BOTTOM                    
R56        18K              0402                            3568.00 m    520.00 m    0        BOTTOM                    
R57        22K              0402                            3472.00 m    456.00 m    0        BOTTOM                    
R58        1K3              0402                            4104.00 m    616.00 m    0        BOTTOM                    
R59        220K             0402                            1696.00 m    1832.00 m   180      BOTTOM                    
R60        0R               0402                            1256.00 m    1776.00 m   180      BOTTOM                    
R61        10R              0402                            1240.00 m    1680.00 m   270      BOTTOM                    
R62        10K              0402                            1776.00 m    1864.00 m   0        BOTTOM                    
R63        0R               0402                            1272.00 m    1656.00 m   90       BOTTOM                    
R64        8K2              0402                            1704.00 m    1736.00 m   180      BOTTOM                    
R65        10K              0402                            1720.00 m    1072.00 m   90       TOP                       
R66        470K             0402                            1704.00 m    1608.00 m   0        BOTTOM                    
R67        18K              0402                            4040.00 m    2752.00 m   180      TOP                       
R68        2K               0805                            2856.00 m    1192.00 m   180      TOP                       
R69        12K              0402                            1352.00 m    648.00 m    0        TOP                       
R70        0R               0402                            1352.00 m    680.00 m    180      TOP                       
R71        2K               0402                            3960.00 m    2752.00 m   180      TOP                       
R72        3K3              0402                            1352.00 m    616.00 m    180      TOP                       
R73        220K             0402                            3152.00 m    1688.00 m   0        BOTTOM                    
R74        0R               0402                            3760.00 m    1704.00 m   90       BOTTOM                    
R75        10K              0402                            1800.00 m    1336.00 m   0        BOTTOM                    
R76        10K              0402                            3264.00 m    1648.00 m   0        BOTTOM                    
R77        15K              0402                            3248.00 m    1736.00 m   0        BOTTOM                    
R78        220K             0402                            3184.00 m    1784.00 m   180      BOTTOM                    
R79        18K              0402                            3184.00 m    1848.00 m   180      BOTTOM                    
R80        2K               0805                            2856.00 m    1096.00 m   180      TOP                       
R81        12K              0402                            1432.00 m    648.00 m    180      TOP                       
R82        0R               0402                            1432.00 m    680.00 m    0        TOP                       
R83        2K               0402                            3184.00 m    1816.00 m   0        BOTTOM                    
R84        3K3              0402                            1432.00 m    616.00 m    0        TOP                       
R85        47K              0402                            2440.00 m    384.00 m    0        TOP                       
R86        3K01             0402                            2440.00 m    416.00 m    180      TOP                       
R87        100R             0603                            3224.00 m    704.00 m    0        TOP                       
R88        47K              0402                            1576.00 m    1094.00 m   90       TOP                       
R89        3K01             0402                            1612.00 m    1094.00 m   270      TOP                       
R90        47K              0402                            2304.00 m    384.00 m    180      TOP                       
R91        100R             0603                            1500.00 m    922.00 m    180      TOP                       
R92        3K01             0402                            2304.00 m    416.00 m    0        TOP                       
R93        100R             0402                            3960.00 m    2784.00 m   0        TOP                       
